,pitch,instrument_family,instrument_source,NaiveFFT,ZeroX,PersistFFT1,PersistFFT2,PSHC,fft_mean,max_fft_amp,freq_at_max_fft_amp,peak_0_freq,peak_0_persistence,peak_1_freq,peak_1_persistence,peak_2_freq,peak_2_persistence,peak_3_freq,peak_3_persistence,peak_4_freq,peak_4_persistence,peak_5_freq,peak_5_persistence,peak_6_freq,peak_6_persistence,peak_7_freq,peak_7_persistence,peak_8_freq,peak_8_persistence,peak_9_freq,peak_9_persistence,peak_10_freq,peak_10_persistence,peak_11_freq,peak_11_persistence,peak_12_freq,peak_12_persistence,peak_13_freq,peak_13_persistence,peak_14_freq,peak_14_persistence,peak_15_freq,peak_15_persistence,peak_16_freq,peak_16_persistence,peak_17_freq,peak_17_persistence,peak_18_freq,peak_18_persistence,peak_19_freq,peak_19_persistence,peak_20_freq,peak_20_persistence,peak_21_freq,peak_21_persistence,peak_22_freq,peak_22_persistence,peak_23_freq,peak_23_persistence,peak_24_freq,peak_24_persistence,peak_25_freq,peak_25_persistence,peak_26_freq,peak_26_persistence,peak_27_freq,peak_27_persistence,peak_28_freq,peak_28_persistence,peak_29_freq,peak_29_persistence,peak_30_freq,peak_30_persistence,peak_31_freq,peak_31_persistence,peak_32_freq,peak_32_persistence,peak_33_freq,peak_33_persistence,peak_34_freq,peak_34_persistence,peak_35_freq,peak_35_persistence,peak_36_freq,peak_36_persistence,peak_37_freq,peak_37_persistence,peak_38_freq,peak_38_persistence,peak_39_freq,peak_39_persistence,peak_40_freq,peak_40_persistence,peak_41_freq,peak_41_persistence,peak_42_freq,peak_42_persistence,peak_43_freq,peak_43_persistence,peak_44_freq,peak_44_persistence,peak_45_freq,peak_45_persistence,peak_46_freq,peak_46_persistence,peak_47_freq,peak_47_persistence,peak_48_freq,peak_48_persistence,peak_49_freq,peak_49_persistence
bass_synthetic_068-049-025,49.0,0.0,2.0,49.0,49.0,49.0,49.0,49.0,77079.78125,59064076.0,138.5,138.5,58473435.24,277.75,35714055.24,418.0,11465275.24,559.5,1356417.49,702.0,3467065.24,845.5,1507548.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_001-021-127,21.0,4.0,1.0,45.0,63.0,33.0,40.0,52.0,77187.1484375,32935208.0,108.0,27.0,953063.0449999999,54.0,1794617.92,80.75,24890823.92,108.0,32605855.92,135.25,9535406.92,162.5,8080580.92,189.75,3755784.42,245.75,1388814.045,273.5,3692959.42,302.0,6727595.92,330.25,11445292.92,359.0,14108749.92,387.5,4303895.92,388.0,16003459.92,416.75,3417625.92,417.5,2216889.67,506.75,868407.7949999999,537.25,4066854.92,567.75,9385374.92,597.75,1299640.42,599.0,5480108.42,629.25,1262954.795,631.0,767750.1699999999,660.75,2291643.17,662.0,8361633.92,694.25,4730048.92,726.75,567309.3574999999,747.25,1076321.17,793.25,1291460.67,824.75,1575780.17,827.0,3405741.92,858.0,599391.1699999999,861.0,1578933.545,893.0,1012384.1699999999,895.25,4501974.92,930.5,1081476.795,962.75,1426270.17,966.25,3354448.67,998.75,849687.9199999999,1038.0,673449.2949999999,1112.0,1878171.92,1144.25,1295507.17,1149.5,5595649.42,1181.5,1216928.67,1188.0,5639333.92,1226.5,864880.4199999999,1265.75,1381938.67,1305.25,963761.2949999999,1554.0,830418.4199999999,1597.25,795097.0449999999
guitar_acoustic_010-066-100,66.0,3.0,0.0,66.0,64.0,66.0,66.0,66.0,93228.5390625,214622496.0,370.5,359.25,59438.04000000004,360.25,291003.04000000004,370.5,212476271.04,373.25,441231.54000000004,374.25,150547.04000000004,383.25,714542.29,384.25,562569.79,385.25,431799.29000000004,386.25,314839.29000000004,387.25,206046.29000000004,388.25,100953.04000000004,736.0,81917.04000000004,740.75,93040367.04,747.0,168545.54000000004,1111.25,23990925.04,1481.75,13257960.04,1852.25,865059.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reed_acoustic_037-068-127,68.0,7.0,0.0,68.0,78.0,68.0,68.0,68.0,101858.3203125,101599752.0,415.75,407.25,131348.47999999998,411.5,1033121.23,413.0,2273602.73,414.0,1809189.48,414.75,1260942.48,415.75,100583754.48,416.25,58325162.48,418.5,459340.73,419.0,1642967.98,419.5,1015147.48,420.5,1118126.48,421.0,201184.35499999998,421.75,377215.105,824.25,307612.355,826.0,1747622.98,827.25,1421587.98,828.0,2452041.73,830.0,10862526.48,830.75,88382810.48,832.25,15316018.48,833.75,12207716.48,835.0,9212951.48,836.0,875058.73,837.0,1419300.23,838.75,1386368.73,839.75,1134521.98,841.0,542715.48,1244.75,2731712.48,1246.5,17041692.48,1247.25,7448578.48,1248.25,23495274.48,1249.25,15281361.48,1250.5,10799602.48,1252.25,1993797.98,1253.5,625871.605,1255.75,1187598.23,1662.0,4745340.98,1663.25,563506.23,1664.0,2657141.48,1666.0,1318712.73,1667.25,1571179.23,1668.75,603220.605,2078.75,2991085.98,2080.5,849608.73,2083.0,509791.98,2084.0,863204.23,2909.25,275907.73,2910.25,806096.73,2912.25,484371.105,3323.5,336349.73
flute_acoustic_002-077-100,77.0,2.0,0.0,77.0,78.0,77.0,77.0,77.0,87995.7265625,383029216.0,698.25,692.5,332332.33999999985,693.75,3865950.84,694.5,11046264.84,695.5,3965785.84,696.75,6947195.84,697.5,34101971.84,698.25,379198923.84,699.25,32280947.84,700.25,7492148.84,701.25,148655.83999999985,701.75,3539984.34,703.5,10100860.84,704.25,1569163.3399999999,705.25,1853645.3399999999,706.25,1534479.8399999999,707.5,992239.3399999999,1396.75,24609.33999999985,2092.25,295174.83999999985,2093.5,2714450.84,2095.0,18833865.84,2096.5,39836.08999999985,2097.25,2248297.84,3491.75,4482605.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
string_acoustic_056-047-075,47.0,8.0,0.0,66.0,51.0,47.0,47.0,47.0,88900.0859375,11440747.0,369.25,93.0,507718.03,123.25,8244913.53,129.25,223838.655,169.5,977543.655,201.75,517886.28,247.5,9312047.53,258.25,171691.655,268.0,1246630.78,317.5,397604.7175,323.75,163814.155,369.25,11326339.53,374.5,533325.53,388.75,259792.7175,401.75,618324.8425,438.0,466373.5925,446.75,128044.920625,468.5,95684.53,495.25,5328108.53,571.0,1450204.53,620.0,151437.99875,627.5,707363.28,658.25,164915.37375,666.5,88795.951875,693.25,89820.108125,716.75,155233.0925,725.75,336356.43625,738.0,1005168.905,746.5,360155.31125,774.75,95258.53,826.0,1143701.655,867.0,869353.03,985.25,79089.905,995.5,1038292.155,1003.25,109293.24875,1119.0,1730855.28,1245.25,877448.905,1350.5,78717.62375,1363.25,74861.951875,1491.0,533360.405,1624.75,221079.9675,1741.75,209474.655,1874.75,224876.81125,1901.5,167063.28,1990.25,220963.68625,2031.5,98801.28,2107.75,76968.108125,2228.5,70824.3425,2265.25,188574.74875,2341.0,88966.93625,2362.0,415810.7175
vocal_synthetic_003-088-025,88.0,10.0,2.0,88.0,89.0,88.0,88.0,88.0,421919.71875,178201776.0,1322.5,1303.0,20772156.24,1306.75,76717270.24,1310.75,160414158.24,1314.5,138272094.24,1318.5,30216818.24,1322.5,176419758.24,1326.25,137611502.24,1330.25,86197846.24,1334.25,27767242.24,2609.75,15984458.24,2613.5,46530982.24,2617.5,89626518.24,2621.25,125639830.24,2625.25,124224174.24,2633.0,121015110.24,2637.0,48949434.24,2641.0,114946014.24,2648.75,127443726.24,2652.75,121951310.24,2656.5,94400550.24,2660.5,47706062.24,2664.25,16314050.24,3920.5,17208740.24,3924.25,35177730.24,3928.25,55921974.24,3932.0,61536002.24,3936.0,47190130.24,3943.75,57988758.24,3947.75,36656818.24,3951.5,33590062.24,3955.5,49529678.24,3959.5,38458790.24,3963.25,33208110.24,3967.25,60013526.24,3975.0,45559038.24,3979.0,67238126.24,3982.75,51538038.24,3986.75,35785802.24,3990.75,16426860.24,5235.0,13155774.24,5239.0,17741314.24,5242.75,16571296.24,5254.5,16014140.24,5266.25,15584480.24,5274.0,16387370.24,5281.75,14030716.24,5293.5,15496186.24,5305.25,17166506.24,5309.0,15909392.24,5313.0,12754369.24
brass_acoustic_046-101-050,101.0,1.0,0.0,31.0,103.0,31.0,105.0,92.0,1357414.125,22122192.0,50.0,50.0,21900970.08,699.75,4719717.58,763.0,5467691.58,1126.25,4781977.58,1525.75,5443788.58,1618.0,4967382.08,1917.75,4991723.58,2129.25,5042873.58,2177.5,4968192.58,2369.75,4800197.58,2486.5,6465327.58,2550.0,5525008.58,2576.25,5174555.08,2618.5,4978573.58,2673.25,5390283.58,2917.5,6651587.58,2953.0,7727520.08,3005.25,5089371.58,3090.25,5168201.58,3118.0,4757568.08,3137.5,5337460.08,3167.75,6431253.08,3220.25,5237369.08,3272.25,5385284.58,3297.25,5869307.08,3317.5,4956982.08,3335.0,5686282.08,3348.25,7308763.58,3358.75,5770135.58,3363.75,5240836.08,3467.0,5021172.58,3473.25,6381911.08,3520.5,6426679.08,3524.0,4741039.58,3624.5,5186304.08,3664.25,4784865.08,3683.5,6868459.08,3756.25,5044811.08,3790.25,6165789.08,3835.25,7054261.08,3848.75,4941485.08,3890.75,5447308.58,3989.0,5272931.58,4040.75,5244813.58,4141.0,4893609.58,4242.5,4901370.08,4309.5,5858477.08,4346.75,4806687.08,4421.75,5251227.58,5064.5,4856883.58
guitar_acoustic_014-070-050,70.0,3.0,0.0,70.0,66.0,70.0,70.0,70.0,119227.484375,144049616.0,466.5,466.5,142609119.84,492.5,2630.840000000084,933.5,11375845.84,1868.75,5051822.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
string_acoustic_014-063-050,63.0,8.0,0.0,63.0,55.0,47.0,63.0,63.0,62122.83203125,19929470.0,312.75,69.75,264527.26875,87.0,948908.05,97.5,936603.675,100.0,53068.22187499999,127.0,2342256.55,136.0,367341.05,143.5,35220.34687499999,148.5,211960.05,153.0,14554.862499999988,153.75,134.31562499998836,172.5,266303.4875,178.0,751559.8,196.25,249032.8,209.0,414955.3625,228.75,41978.94062499999,243.75,141905.14375,249.75,231486.64375,260.75,193339.89375,264.0,1019892.675,274.0,67699.89374999999,302.75,488119.175,312.75,19730175.3,317.5,6635.299999999988,328.5,316873.3,330.25,83397.54999999999,338.0,1717549.05,351.25,1478393.55,366.25,11065.424999999988,387.75,146416.3625,414.5,408155.8,432.0,49157.56562499999,439.75,110980.04999999999,487.5,8578.768749999988,524.0,170514.425,528.75,132234.70625,539.5,76838.61249999999,548.75,5096.924999999988,624.75,3538171.8,643.0,23364.25312499999,648.25,48584.37812499999,918.0,102794.95624999999,928.25,29485.15937499999,948.0,179625.45625,970.5,30733.12812499999,1574.25,398942.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
